participant,p_ad_survey,ad_over_index,n_ad_top_trials,mean_ad_area_frac,regression_rate,mean_lhipa,mean_fixations,tercile,p_ad_click,p_dd_top_click,p_native_ad_click,mean_click_pos,n_clicks,n_ad_clicks
p004,0.7769230769230769,2.845229696301257,26.0,0.273061636441185,0.5423728813559322,0.05088632793511847,69.98305084745763,mid,0.03389830508474576,0.03389830508474576,0.0,2.5254237288135593,59,2
p005,0.7176470588235294,2.3996023200838055,34.0,0.29906916359310143,0.9166666666666666,0.037500396185711445,100.23333333333333,mid,0.21052631578947367,0.15789473684210525,0.05263157894736842,1.719298245614035,57,12
p006,0.896551724137931,3.0897473910206963,29.0,0.29016991057050645,0.7666666666666667,0.04440055334167827,106.75,high,0.20689655172413793,0.1206896551724138,0.08620689655172414,2.5172413793103448,58,12
p007,0.7375,2.57731829826539,32.0,0.28615014315319875,0.7586206896551724,0.03621329241579489,94.60344827586206,mid,0.03508771929824561,0.0,0.03508771929824561,3.3157894736842106,57,2
p008,0.6214285714285714,2.028105957034001,28.0,0.30640833595172623,0.3275862068965517,0.03774556728859663,94.60344827586206,low,0.43103448275862066,0.2413793103448276,0.1896551724137931,1.5172413793103448,58,25
p009,0.9,3.129730821050282,40.0,0.2875646665670679,0.9830508474576272,0.03510502834350219,140.64406779661016,high,0.4576271186440678,0.3898305084745763,0.06779661016949153,1.305084745762712,59,27
p010,0.6222222222222222,2.2275870381488247,36.0,0.2793256611599352,0.75,0.038122316078446454,86.76666666666667,low,0.05084745762711865,0.03389830508474576,0.01694915254237288,3.305084745762712,59,3
p011,0.90625,3.3291208001331682,32.0,0.2722190194972045,0.9322033898305084,0.03770019656531415,144.77966101694915,high,0.13559322033898305,0.11864406779661017,0.01694915254237288,3.23728813559322,59,8
p012,0.6829268292682927,2.4877738563392295,41.0,0.2745132269671901,0.8135593220338984,0.04408685697236138,98.10169491525424,mid,0.1016949152542373,0.0847457627118644,0.01694915254237288,2.457627118644068,59,6
p013,0.9347826086956522,2.8860635631198086,46.0,0.3238953641357645,0.03333333333333333,0.07514296663831638,23.183333333333334,high,0.4406779661016949,0.2542372881355932,0.1864406779661017,1.11864406779661,59,26
p014,0.7277777777777777,2.483318918893809,36.0,0.2930665780543263,0.5333333333333333,0.04339392362002825,117.55,mid,0.2,0.0,0.2,3.65,60,12
p015,0.6628571428571428,2.275560888358104,35.0,0.2912939602048694,0.8333333333333334,0.03834423156103612,112.75,low,0.0,0.0,0.0,2.2542372881355934,59,0
p016,0.7771428571428571,2.555433079496624,35.0,0.3041139536692312,0.5084745762711864,0.04566531700885047,67.54237288135593,high,0.05172413793103448,0.034482758620689655,0.017241379310344827,2.0,58,3
p017,0.85625,2.8692510084328813,32.0,0.29842282793782615,0.2,0.06413144850568468,41.15,high,0.1,0.08333333333333333,0.016666666666666666,3.4833333333333334,60,6
p018,0.8324324324324325,2.737113570117259,37.0,0.3041278379971536,0.3793103448275862,0.03759319411329069,97.29310344827586,high,0.03508771929824561,0.017543859649122806,0.017543859649122806,1.9649122807017543,57,2
p019,0.5473684210526316,1.9749175600394107,38.0,0.27716013677133366,0.6440677966101694,0.048808407569777154,83.16949152542372,low,0.13793103448275862,0.06896551724137931,0.06896551724137931,2.5689655172413794,58,8
