trial_id,uid,batch,trial,absolute_rank,organic_rank,slot_type,top_y,bottom_y,center_y,left_x,right_x,n_absolute,n_organic,doc_height,screen_height
p004-b1-t1,4,1,1,0,0,organic,200.0,403.82,301.91,162,702,11,9,2642,1024
p004-b1-t1,4,1,1,1,1,organic,403.82,607.64,505.73,162,702,11,9,2642,1024
p004-b1-t1,4,1,1,2,2,organic,607.64,811.45,709.55,162,702,11,9,2642,1024
p004-b1-t1,4,1,1,3,3,organic,811.45,1015.27,913.36,162,702,11,9,2642,1024
p004-b1-t1,4,1,1,4,4,organic,1015.27,1219.09,1117.18,162,702,11,9,2642,1024
p004-b1-t1,4,1,1,5,5,organic,1219.09,1422.91,1321.0,162,702,11,9,2642,1024
p004-b1-t1,4,1,1,6,,ad,1422.91,1626.73,1524.82,162,702,11,9,2642,1024
p004-b1-t1,4,1,1,7,,ad,1626.73,1830.55,1728.64,162,702,11,9,2642,1024
p004-b1-t1,4,1,1,8,6,organic,1830.55,2034.36,1932.45,162,702,11,9,2642,1024
p004-b1-t1,4,1,1,9,7,organic,2034.36,2238.18,2136.27,162,702,11,9,2642,1024
p004-b1-t1,4,1,1,10,8,organic,2238.18,2442,2340.09,162,702,11,9,2642,1024
p004-b1-t10,4,1,10,0,0,organic,200.0,451.83,325.92,162,702,12,11,3422,1024
p004-b1-t10,4,1,10,1,1,organic,451.83,703.67,577.75,162,702,12,11,3422,1024
p004-b1-t10,4,1,10,2,2,organic,703.67,955.5,829.58,162,702,12,11,3422,1024
p004-b1-t10,4,1,10,3,3,organic,955.5,1207.33,1081.42,162,702,12,11,3422,1024
p004-b1-t10,4,1,10,4,4,organic,1207.33,1459.17,1333.25,162,702,12,11,3422,1024
p004-b1-t10,4,1,10,5,5,organic,1459.17,1711.0,1585.08,162,702,12,11,3422,1024
p004-b1-t10,4,1,10,6,6,organic,1711.0,1962.83,1836.92,162,702,12,11,3422,1024
p004-b1-t10,4,1,10,7,7,organic,1962.83,2214.67,2088.75,162,702,12,11,3422,1024
p004-b1-t10,4,1,10,8,,ad,2214.67,2466.5,2340.58,162,702,12,11,3422,1024
p004-b1-t10,4,1,10,9,8,organic,2466.5,2718.33,2592.42,162,702,12,11,3422,1024
p004-b1-t10,4,1,10,10,9,organic,2718.33,2970.17,2844.25,162,702,12,11,3422,1024
p004-b1-t10,4,1,10,11,10,organic,2970.17,3222,3096.08,162,702,12,11,3422,1024
p004-b1-t2,4,1,2,0,0,organic,200.0,411.18,305.59,162,702,11,9,2723,1024
p004-b1-t2,4,1,2,1,1,organic,411.18,622.36,516.77,162,702,11,9,2723,1024
p004-b1-t2,4,1,2,2,2,organic,622.36,833.55,727.95,162,702,11,9,2723,1024
p004-b1-t2,4,1,2,3,3,organic,833.55,1044.73,939.14,162,702,11,9,2723,1024
p004-b1-t2,4,1,2,4,4,organic,1044.73,1255.91,1150.32,162,702,11,9,2723,1024
p004-b1-t2,4,1,2,5,5,organic,1255.91,1467.09,1361.5,162,702,11,9,2723,1024
p004-b1-t2,4,1,2,6,6,organic,1467.09,1678.27,1572.68,162,702,11,9,2723,1024
p004-b1-t2,4,1,2,7,7,organic,1678.27,1889.45,1783.86,162,702,11,9,2723,1024
p004-b1-t2,4,1,2,8,,ad,1889.45,2100.64,1995.05,162,702,11,9,2723,1024
p004-b1-t2,4,1,2,9,,ad,2100.64,2311.82,2206.23,162,702,11,9,2723,1024
p004-b1-t2,4,1,2,10,8,organic,2311.82,2523,2417.41,162,702,11,9,2723,1024
p004-b1-t3,4,1,3,0,,ad,200.0,429.23,314.62,162,702,13,10,3380,1024
p004-b1-t3,4,1,3,1,,ad,429.23,658.46,543.85,162,702,13,10,3380,1024
p004-b1-t3,4,1,3,2,0,organic,658.46,887.69,773.08,162,702,13,10,3380,1024
p004-b1-t3,4,1,3,3,1,organic,887.69,1116.92,1002.31,162,702,13,10,3380,1024
p004-b1-t3,4,1,3,4,2,organic,1116.92,1346.15,1231.54,162,702,13,10,3380,1024
p004-b1-t3,4,1,3,5,3,organic,1346.15,1575.38,1460.77,162,702,13,10,3380,1024
p004-b1-t3,4,1,3,6,4,organic,1575.38,1804.62,1690.0,162,702,13,10,3380,1024
p004-b1-t3,4,1,3,7,5,organic,1804.62,2033.85,1919.23,162,702,13,10,3380,1024
p004-b1-t3,4,1,3,8,6,organic,2033.85,2263.08,2148.46,162,702,13,10,3380,1024
p004-b1-t3,4,1,3,9,,ad,2263.08,2492.31,2377.69,162,702,13,10,3380,1024
p004-b1-t3,4,1,3,10,7,organic,2492.31,2721.54,2606.92,162,702,13,10,3380,1024
p004-b1-t3,4,1,3,11,8,organic,2721.54,2950.77,2836.15,162,702,13,10,3380,1024
p004-b1-t3,4,1,3,12,9,organic,2950.77,3180,3065.38,162,702,13,10,3380,1024
p004-b1-t4,4,1,4,0,,ad,200.0,464.82,332.41,162,702,11,7,3313,1024
p004-b1-t4,4,1,4,1,,ad,464.82,729.64,597.23,162,702,11,7,3313,1024
p004-b1-t4,4,1,4,2,0,organic,729.64,994.45,862.05,162,702,11,7,3313,1024
p004-b1-t4,4,1,4,3,1,organic,994.45,1259.27,1126.86,162,702,11,7,3313,1024
p004-b1-t4,4,1,4,4,2,organic,1259.27,1524.09,1391.68,162,702,11,7,3313,1024
p004-b1-t4,4,1,4,5,3,organic,1524.09,1788.91,1656.5,162,702,11,7,3313,1024
p004-b1-t4,4,1,4,6,4,organic,1788.91,2053.73,1921.32,162,702,11,7,3313,1024
p004-b1-t4,4,1,4,7,,ad,2053.73,2318.55,2186.14,162,702,11,7,3313,1024
p004-b1-t4,4,1,4,8,,ad,2318.55,2583.36,2450.95,162,702,11,7,3313,1024
p004-b1-t4,4,1,4,9,5,organic,2583.36,2848.18,2715.77,162,702,11,7,3313,1024
p004-b1-t4,4,1,4,10,6,organic,2848.18,3113,2980.59,162,702,11,7,3313,1024
p004-b1-t5,4,1,5,0,,ad,200.0,418.93,309.46,162,702,14,10,3465,1024
p004-b1-t5,4,1,5,1,,ad,418.93,637.86,528.39,162,702,14,10,3465,1024
p004-b1-t5,4,1,5,2,0,organic,637.86,856.79,747.32,162,702,14,10,3465,1024
p004-b1-t5,4,1,5,3,1,organic,856.79,1075.71,966.25,162,702,14,10,3465,1024
p004-b1-t5,4,1,5,4,2,organic,1075.71,1294.64,1185.18,162,702,14,10,3465,1024
p004-b1-t5,4,1,5,5,3,organic,1294.64,1513.57,1404.11,162,702,14,10,3465,1024
p004-b1-t5,4,1,5,6,4,organic,1513.57,1732.5,1623.04,162,702,14,10,3465,1024
p004-b1-t5,4,1,5,7,5,organic,1732.5,1951.43,1841.96,162,702,14,10,3465,1024
p004-b1-t5,4,1,5,8,6,organic,1951.43,2170.36,2060.89,162,702,14,10,3465,1024
