trial_id,uid,batch,trial,rank,etype,organic_rank,top_y,bottom_y,center_y,left_x,right_x,n_total,n_organic,doc_height,screen_height,html_handle,html_signature
p004-b1-t1,4,1,1,0,organic,0,133.0,407.0,270.0,162.0,748.0,12,7,2642,1024,rso[0],div.(no class)
p004-b1-t1,4,1,1,1,organic,1,409.0,523.0,466.0,162.0,748.0,12,7,2642,1024,rso[1],div.g tF2Cxc
p004-b1-t1,4,1,1,2,organic,2,525.0,741.0,633.0,162.0,748.0,12,7,2642,1024,rso[2],div.(no class)
p004-b1-t1,4,1,1,3,organic,3,743.0,862.0,802.5,162.0,748.0,12,7,2642,1024,rso[3],div.hlcw0c
p004-b1-t1,4,1,1,4,image_pack,,864.0,1109.0,986.5,162.0,748.0,12,7,2642,1024,rso[4],"h=""imgs"" div.ULSxyf"
p004-b1-t1,4,1,1,5,organic,4,1111.0,1230.0,1170.5,162.0,748.0,12,7,2642,1024,rso[5],div.g tF2Cxc
p004-b1-t1,4,1,1,6,organic,5,1232.0,1366.0,1299.0,162.0,748.0,12,7,2642,1024,rso[6],div.g
p004-b1-t1,4,1,1,7,organic,6,1368.0,1484.0,1426.0,162.0,748.0,12,7,2642,1024,rso[7],div.hlcw0c
p004-b1-t1,4,1,1,8,native_ad,,1516.0,1624.0,1570.0,162.0,702.0,12,7,2642,1024,,
p004-b1-t1,4,1,1,9,native_ad,,1651.0,1740.0,1695.5,162.0,702.0,12,7,2642,1024,,
p004-b1-t1,4,1,1,10,native_ad,,1766.0,1874.0,1820.0,162.0,702.0,12,7,2642,1024,,
p004-b1-t1,4,1,1,11,unknown_widget,,1920.0,2151.0,2035.5,162.0,748.0,12,7,2642,1024,,
p004-b1-t10,4,1,10,0,native_ad,,163.0,312.0,237.5,162.0,702.0,18,10,3422,1024,,
p004-b1-t10,4,1,10,1,native_ad,,339.0,448.0,393.5,162.0,702.0,18,10,3422,1024,,
p004-b1-t10,4,1,10,2,native_ad,,475.0,565.0,520.0,162.0,702.0,18,10,3422,1024,,
p004-b1-t10,4,1,10,3,native_ad,,591.0,660.0,625.5,162.0,702.0,18,10,3422,1024,,
p004-b1-t10,4,1,10,4,organic,0,687.0,772.0,729.5,162.0,748.0,18,10,3422,1024,rso[0],div.g tF2Cxc
p004-b1-t10,4,1,10,5,organic,1,806.0,888.0,847.0,162.0,748.0,18,10,3422,1024,rso[1],div.g tF2Cxc
p004-b1-t10,4,1,10,6,organic,2,920.0,1052.0,986.0,162.0,748.0,18,10,3422,1024,rso[2],div.g
p004-b1-t10,4,1,10,7,knowledge_panel,,1087.0,1168.0,1127.5,162.0,748.0,18,10,3422,1024,rso[3],"h=""comp"" div.TQc1id hSOk2e rhstc4"
p004-b1-t10,4,1,10,8,organic,3,1202.0,1284.0,1243.0,162.0,748.0,18,10,3422,1024,rso[4],div.g tF2Cxc
p004-b1-t10,4,1,10,9,organic,4,1332.0,1426.0,1379.0,162.0,748.0,18,10,3422,1024,rso[5],div.hlcw0c
p004-b1-t10,4,1,10,10,paa,,1439.0,1547.0,1493.0,162.0,748.0,18,10,3422,1024,rso[6],"h=""paa"" div.ULSxyf"
p004-b1-t10,4,1,10,11,organic,5,1549.0,1688.0,1618.5,162.0,748.0,18,10,3422,1024,rso[7],div.g tF2Cxc
p004-b1-t10,4,1,10,12,organic,6,1690.0,1805.0,1747.5,162.0,748.0,18,10,3422,1024,rso[8],div.g tF2Cxc
p004-b1-t10,4,1,10,13,organic,7,1807.0,1989.0,1898.0,162.0,748.0,18,10,3422,1024,rso[9],div.g
p004-b1-t10,4,1,10,14,organic,8,1991.0,2163.0,2077.0,162.0,748.0,18,10,3422,1024,rso[10],div.g tF2Cxc
p004-b1-t10,4,1,10,15,organic,9,2165.0,2285.0,2225.0,162.0,748.0,18,10,3422,1024,rso[11],div.hlcw0c
p004-b1-t10,4,1,10,16,native_ad,,2315.0,2384.0,2349.5,162.0,702.0,18,10,3422,1024,,
p004-b1-t10,4,1,10,17,native_ad,,2411.0,2480.0,2445.5,162.0,702.0,18,10,3422,1024,,
p004-b1-t2,4,1,2,0,organic,0,133.0,285.0,209.0,162.0,748.0,13,8,2723,1024,rso[0],div.g tF2Cxc
p004-b1-t2,4,1,2,1,organic,1,287.0,456.0,371.5,162.0,748.0,13,8,2723,1024,rso[1],div.hlcw0c
p004-b1-t2,4,1,2,2,paa,,458.0,548.0,503.0,162.0,748.0,13,8,2723,1024,rso[2],"h=""paa"" div.ULSxyf"
p004-b1-t2,4,1,2,3,organic,2,550.0,666.0,608.0,162.0,748.0,13,8,2723,1024,rso[3],div.(no class)
p004-b1-t2,4,1,2,4,organic,3,668.0,803.0,735.5,162.0,748.0,13,8,2723,1024,rso[4],div.g tF2Cxc
p004-b1-t2,4,1,2,5,organic,4,805.0,913.0,859.0,162.0,748.0,13,8,2723,1024,rso[5],div.hlcw0c
p004-b1-t2,4,1,2,6,image_pack,,915.0,1031.0,973.0,162.0,748.0,13,8,2723,1024,rso[6],"h=""imgs"" div.ULSxyf"
p004-b1-t2,4,1,2,7,organic,5,1033.0,1191.0,1112.0,162.0,748.0,13,8,2723,1024,rso[7],div.g tF2Cxc
p004-b1-t2,4,1,2,8,organic,6,1193.0,1438.0,1315.5,162.0,748.0,13,8,2723,1024,rso[8],div.g tF2Cxc
p004-b1-t2,4,1,2,9,organic,7,1440.0,1557.0,1498.5,162.0,748.0,13,8,2723,1024,rso[9],div.hlcw0c
p004-b1-t2,4,1,2,10,native_ad,,1806.0,1955.0,1880.5,162.0,702.0,13,8,2723,1024,,
p004-b1-t2,4,1,2,11,native_ad,,1981.0,2089.0,2035.0,162.0,702.0,13,8,2723,1024,,
p004-b1-t2,4,1,2,12,native_ad,,2116.0,2224.0,2170.0,162.0,702.0,13,8,2723,1024,,
p004-b1-t3,4,1,3,0,dd_top,,158.0,400.0,279.0,162.0,748.0,17,9,3380,1024,,
p004-b1-t3,4,1,3,1,native_ad,,416.0,485.0,450.5,162.0,702.0,17,9,3380,1024,,
p004-b1-t3,4,1,3,2,native_ad,,512.0,581.0,546.5,162.0,702.0,17,9,3380,1024,,
p004-b1-t3,4,1,3,3,native_ad,,607.0,676.0,641.5,162.0,702.0,17,9,3380,1024,,
p004-b1-t3,4,1,3,4,organic,0,705.0,873.0,789.0,162.0,748.0,17,9,3380,1024,rso[0],div.g
p004-b1-t3,4,1,3,5,organic,1,875.0,1098.0,986.5,162.0,748.0,17,9,3380,1024,rso[1],div.hlcw0c
p004-b1-t3,4,1,3,6,paa,,1100.0,1209.0,1154.5,162.0,748.0,17,9,3380,1024,rso[2],"h=""paa"" div.ULSxyf"
p004-b1-t3,4,1,3,7,organic,2,1211.0,1338.0,1274.5,162.0,748.0,17,9,3380,1024,rso[3],div.g
p004-b1-t3,4,1,3,8,organic,3,1340.0,1528.0,1434.0,162.0,748.0,17,9,3380,1024,rso[4],div.g tF2Cxc
p004-b1-t3,4,1,3,9,organic,4,1530.0,1664.0,1597.0,162.0,748.0,17,9,3380,1024,rso[5],div.g tF2Cxc
p004-b1-t3,4,1,3,10,organic,5,1666.0,1780.0,1723.0,162.0,748.0,17,9,3380,1024,rso[6],div.g tF2Cxc
p004-b1-t3,4,1,3,11,organic,6,1782.0,1896.0,1839.0,162.0,748.0,17,9,3380,1024,rso[7],div.g tF2Cxc
p004-b1-t3,4,1,3,12,organic,7,1898.0,2035.0,1966.5,162.0,748.0,17,9,3380,1024,rso[8],div.g
p004-b1-t3,4,1,3,13,organic,8,2037.0,2195.0,2116.0,162.0,748.0,17,9,3380,1024,rso[9],div.hlcw0c
p004-b1-t3,4,1,3,14,native_ad,,2326.0,2395.0,2360.5,162.0,702.0,17,9,3380,1024,,
p004-b1-t3,4,1,3,15,native_ad,,2421.0,2590.0,2505.5,162.0,702.0,17,9,3380,1024,,
p004-b1-t3,4,1,3,16,native_ad,,2617.0,2686.0,2651.5,162.0,702.0,17,9,3380,1024,,
p004-b1-t4,4,1,4,0,native_ad,,163.0,291.0,227.0,162.0,702.0,17,9,3313,1024,,
p004-b1-t4,4,1,4,1,native_ad,,319.0,448.0,383.5,162.0,702.0,17,9,3313,1024,,
p004-b1-t4,4,1,4,2,native_ad,,475.0,564.0,519.5,162.0,702.0,17,9,3313,1024,,
p004-b1-t4,4,1,4,3,native_ad,,590.0,659.0,624.5,162.0,702.0,17,9,3313,1024,,
p004-b1-t4,4,1,4,4,organic,0,688.0,961.0,824.5,162.0,748.0,17,9,3313,1024,rso[0],div.(no class)
p004-b1-t4,4,1,4,5,organic,1,996.0,1102.0,1049.0,162.0,748.0,17,9,3313,1024,rso[1],div.g
p004-b1-t4,4,1,4,6,knowledge_panel,,1141.0,1262.0,1201.5,162.0,748.0,17,9,3313,1024,rso[2],"h=""comp"" div.TQc1id hSOk2e rhstc4"
p004-b1-t4,4,1,4,7,organic,2,1297.0,1395.0,1346.0,162.0,748.0,17,9,3313,1024,rso[3],div.g tF2Cxc
p004-b1-t4,4,1,4,8,organic,3,1433.0,1550.0,1491.5,162.0,748.0,17,9,3313,1024,rso[4],div.g tF2Cxc
p004-b1-t4,4,1,4,9,organic,4,1552.0,1664.0,1608.0,162.0,748.0,17,9,3313,1024,rso[5],div.g tF2Cxc
p004-b1-t4,4,1,4,10,organic,5,1666.0,1801.0,1733.5,162.0,748.0,17,9,3313,1024,rso[6],div.g tF2Cxc
p004-b1-t4,4,1,4,11,organic,6,1803.0,1986.0,1894.5,162.0,748.0,17,9,3313,1024,rso[7],div.g tF2Cxc
p004-b1-t4,4,1,4,12,organic,7,1988.0,2085.0,2036.5,162.0,748.0,17,9,3313,1024,rso[8],div.g
p004-b1-t4,4,1,4,13,native_ad,,2115.0,2264.0,2189.5,162.0,702.0,17,9,3313,1024,,
p004-b1-t4,4,1,4,14,native_ad,,2292.0,2361.0,2326.5,162.0,702.0,17,9,3313,1024,,
p004-b1-t4,4,1,4,15,native_ad,,2387.0,2476.0,2431.5,162.0,702.0,17,9,3313,1024,,
p004-b1-t4,4,1,4,16,organic,8,2521.0,2752.0,2636.5,162.0,748.0,17,9,3313,1024,rso[9],div.hlcw0c
p004-b1-t5,4,1,5,0,native_ad,,163.0,415.0,289.0,162.0,702.0,17,9,3465,1024,,
p004-b1-t5,4,1,5,1,native_ad,,441.0,550.0,495.5,162.0,702.0,17,9,3465,1024,,
p004-b1-t5,4,1,5,2,native_ad,,577.0,667.0,622.0,162.0,702.0,17,9,3465,1024,,
p004-b1-t5,4,1,5,3,organic,0,694.0,901.0,797.5,162.0,748.0,17,9,3465,1024,rso[0],div.(no class)
p004-b1-t5,4,1,5,4,organic,1,933.0,1037.0,985.0,162.0,748.0,17,9,3465,1024,rso[1],div.g tF2Cxc
p004-b1-t5,4,1,5,5,organic,2,1071.0,1153.0,1112.0,162.0,748.0,17,9,3465,1024,rso[2],div.g tF2Cxc
p004-b1-t5,4,1,5,6,knowledge_panel,,1188.0,1269.0,1228.5,162.0,748.0,17,9,3465,1024,rso[3],"h=""comp"" div.TQc1id hSOk2e rhstc4"
p004-b1-t5,4,1,5,7,organic,3,1303.0,1384.0,1343.5,162.0,748.0,17,9,3465,1024,rso[4],div.g tF2Cxc
p004-b1-t5,4,1,5,8,organic,4,1419.0,1594.0,1506.5,162.0,748.0,17,9,3465,1024,rso[5],div.g tF2Cxc
p004-b1-t5,4,1,5,9,organic,5,1596.0,1738.0,1667.0,162.0,748.0,17,9,3465,1024,rso[6],div.g
p004-b1-t5,4,1,5,10,organic,6,1740.0,1908.0,1824.0,162.0,748.0,17,9,3465,1024,rso[7],div.hlcw0c
p004-b1-t5,4,1,5,11,paa,,1910.0,2100.0,2005.0,162.0,748.0,17,9,3465,1024,rso[8],"h=""paa"" div.ULSxyf"
p004-b1-t5,4,1,5,12,organic,7,2102.0,2200.0,2151.0,162.0,748.0,17,9,3465,1024,rso[9],div.g tF2Cxc
p004-b1-t5,4,1,5,13,native_ad,,2231.0,2300.0,2265.5,162.0,702.0,17,9,3465,1024,,
p004-b1-t5,4,1,5,14,native_ad,,2326.0,2455.0,2390.5,162.0,702.0,17,9,3465,1024,,
p004-b1-t5,4,1,5,15,native_ad,,2482.0,2610.0,2546.0,162.0,702.0,17,9,3465,1024,,
p004-b1-t5,4,1,5,16,organic,8,2656.0,2887.0,2771.5,162.0,748.0,17,9,3465,1024,rso[10],div.hlcw0c
p004-b1-t6,4,1,6,0,dd_top,,158.0,437.0,297.5,162.0,749.0,15,9,3196,1024,,
p004-b1-t6,4,1,6,1,native_ad,,453.0,665.0,559.0,162.0,702.0,15,9,3196,1024,,
p004-b1-t6,4,1,6,2,organic,0,692.0,813.0,752.5,162.0,748.0,15,9,3196,1024,rso[0],div.g tF2Cxc
p004-b1-t6,4,1,6,3,organic,1,815.0,947.0,881.0,162.0,748.0,15,9,3196,1024,rso[1],div.g tF2Cxc
p004-b1-t6,4,1,6,4,organic,2,949.0,1084.0,1016.5,162.0,748.0,15,9,3196,1024,rso[2],div.g tF2Cxc
p004-b1-t6,4,1,6,5,organic,3,1086.0,1220.0,1153.0,162.0,748.0,15,9,3196,1024,rso[3],div.g tF2Cxc
p004-b1-t6,4,1,6,6,organic,4,1222.0,1336.0,1279.0,162.0,748.0,15,9,3196,1024,rso[4],div.g tF2Cxc
p004-b1-t6,4,1,6,7,organic,5,1338.0,1511.0,1424.5,162.0,748.0,15,9,3196,1024,rso[5],div.g tF2Cxc
p004-b1-t6,4,1,6,8,organic,6,1513.0,1627.0,1570.0,162.0,748.0,15,9,3196,1024,rso[6],div.g tF2Cxc
p004-b1-t6,4,1,6,9,organic,7,1629.0,1748.0,1688.5,162.0,748.0,15,9,3196,1024,rso[7],div.hlcw0c
p004-b1-t6,4,1,6,10,image_pack,,1750.0,2036.0,1893.0,162.0,748.0,15,9,3196,1024,rso[8],"h=""imgs"" div.ULSxyf"
p004-b1-t6,4,1,6,11,organic,8,2038.0,2159.0,2098.5,162.0,748.0,15,9,3196,1024,rso[9],div.hlcw0c
p004-b1-t6,4,1,6,12,native_ad,,2192.0,2361.0,2276.5,162.0,702.0,15,9,3196,1024,,
p004-b1-t6,4,1,6,13,native_ad,,2387.0,2536.0,2461.5,162.0,702.0,15,9,3196,1024,,
p004-b1-t6,4,1,6,14,native_ad,,2564.0,2653.0,2608.5,162.0,702.0,15,9,3196,1024,,
p004-b1-t7,4,1,7,0,organic,0,133.0,265.0,199.0,162.0,748.0,13,9,2295,1024,rso[0],div.g tF2Cxc
p004-b1-t7,4,1,7,1,organic,1,267.0,380.0,323.5,162.0,748.0,13,9,2295,1024,rso[1],div.g tF2Cxc
p004-b1-t7,4,1,7,2,organic,2,382.0,517.0,449.5,162.0,748.0,13,9,2295,1024,rso[2],div.g tF2Cxc
p004-b1-t7,4,1,7,3,organic,3,519.0,631.0,575.0,162.0,748.0,13,9,2295,1024,rso[3],div.g tF2Cxc
p004-b1-t7,4,1,7,4,organic,4,633.0,748.0,690.5,162.0,748.0,13,9,2295,1024,rso[4],div.g tF2Cxc
