participant,n_dd_top_trials,mean_cells_per_carousel,any_cell_engagement_rate,cell_promiscuity_rate,mean_n_touched_when_engaged,p_carousel_click,mean_touched_fraction
p004,26,4.076923076923077,0.23076923076923078,0.11538461538461539,1.5,0.038461538461538464,0.09038461538461538
p005,35,4.057142857142857,0.9428571428571428,0.7428571428571429,2.3636363636363638,0.2571428571428571,0.5480952380952381
p006,29,4.0,0.5172413793103449,0.20689655172413793,2.066666666666667,0.20689655172413793,0.2718390804597701
p007,31,4.225806451612903,0.5483870967741935,0.03225806451612903,1.0588235294117647,0.0,0.13978494623655913
p008,27,3.962962962962963,0.6296296296296297,0.2962962962962963,1.6470588235294117,0.48148148148148145,0.2580246913580247
p009,40,4.0,0.925,0.55,2.1621621621621623,0.4,0.5104166666666666
p010,35,3.9714285714285715,0.3142857142857143,0.05714285714285714,1.1818181818181819,0.05714285714285714,0.09142857142857143
p011,32,4.15625,0.96875,0.75,2.5806451612903225,0.15625,0.6000000000000001
p012,39,3.948717948717949,0.7948717948717948,0.3076923076923077,1.6451612903225807,0.1282051282051282,0.36153846153846153
p013,45,4.133333333333334,0.9555555555555556,0.5333333333333333,1.9767441860465116,0.3111111111111111,0.4659259259259259
p014,36,4.111111111111111,0.25,0.027777777777777776,1.1111111111111112,0.0,0.07314814814814814
p015,34,4.176470588235294,1.0,0.9117647058823529,3.1470588235294117,0.0,0.7661764705882353
p016,34,4.088235294117647,0.11764705882352941,0.058823529411764705,2.0,0.058823529411764705,0.05147058823529411
p017,31,4.0,0.8387096774193549,0.4838709677419355,1.8461538461538463,0.16129032258064516,0.40860215053763443
p018,37,4.1891891891891895,0.21621621621621623,0.02702702702702703,1.125,0.02702702702702703,0.058108108108108104
p019,37,4.0,0.8378378378378378,0.5945945945945946,2.2903225806451615,0.10810810810810811,0.4869369369369369
p020,21,4.190476190476191,0.3333333333333333,0.09523809523809523,1.2857142857142858,0.0,0.10238095238095238
p021,28,4.285714285714286,0.7857142857142857,0.17857142857142858,1.3636363636363635,0.03571428571428571,0.2565476190476191
p022,31,4.161290322580645,0.6129032258064516,0.0,1.0,0.0,0.16397849462365588
p023,39,4.102564102564102,0.3076923076923077,0.15384615384615385,1.8333333333333333,0.23076923076923078,0.13675213675213674
p024,32,4.1875,0.1875,0.09375,1.6666666666666667,0.09375,0.08906249999999999
p025,38,4.078947368421052,0.7631578947368421,0.5789473684210527,2.586206896551724,0.18421052631578946,0.47719298245614034
p026,30,4.033333333333333,0.16666666666666666,0.06666666666666667,1.6,0.0,0.06444444444444444
p027,39,3.923076923076923,0.38461538461538464,0.1794871794871795,1.6666666666666667,0.05128205128205128,0.15598290598290598
p028,39,4.102564102564102,1.0,0.8461538461538461,2.58974358974359,0.02564102564102564,0.6354700854700854
p029,26,3.9615384615384617,0.7692307692307693,0.3076923076923077,1.85,0.2692307692307692,0.38461538461538464
p030,33,4.03030303030303,0.9090909090909091,0.2727272727272727,1.3,0.030303030303030304,0.2994949494949495
p031,31,4.193548387096774,0.8064516129032258,0.3870967741935484,1.56,0.0,0.30322580645161284
p032,34,4.147058823529412,1.0,0.8823529411764706,2.6176470588235294,0.20588235294117646,0.6308823529411764
p033,32,4.03125,0.90625,0.8125,3.103448275862069,0.625,0.7072916666666667
p034,34,4.0588235294117645,0.7058823529411765,0.14705882352941177,1.25,0.0,0.2245098039215686
p035,28,4.178571428571429,0.9285714285714286,0.6071428571428571,2.423076923076923,0.10714285714285714,0.5422619047619047
p036,37,4.27027027027027,0.8918918918918919,0.5945945945945946,2.121212121212121,0.1891891891891892,0.4378378378378378
p037,31,4.258064516129032,0.8387096774193549,0.5483870967741935,2.230769230769231,0.03225806451612903,0.4413978494623656
p038,38,4.2105263157894735,0.6052631578947368,0.23684210526315788,1.8695652173913044,0.10526315789473684,0.2728070175438597
p039,19,4.105263157894737,0.8947368421052632,0.47368421052631576,2.0,0.3684210526315789,0.431578947368421
p040,30,4.1,0.8666666666666667,0.5666666666666667,2.0384615384615383,0.03333333333333333,0.43888888888888883
p041,26,4.3076923076923075,0.9230769230769231,0.5384615384615384,1.7916666666666667,0.6153846153846154,0.38333333333333336
p042,32,4.125,0.84375,0.3125,1.9259259259259258,0.0625,0.3979166666666667
p043,35,4.285714285714286,0.9428571428571428,0.5714285714285714,2.242424242424242,0.3142857142857143,0.5057142857142857
p044,36,4.027777777777778,0.9444444444444444,0.7222222222222222,2.5588235294117645,0.25,0.6078703703703705
p045,38,4.2368421052631575,0.8421052631578947,0.4473684210526316,1.90625,0.13157894736842105,0.3815789473684211
p046,32,4.15625,0.84375,0.65625,2.888888888888889,0.03125,0.6026041666666666
p047,30,4.166666666666667,0.9333333333333333,0.6666666666666666,2.392857142857143,0.03333333333333333,0.5616666666666666
p048,37,4.1891891891891895,0.6756756756756757,0.24324324324324326,1.72,0.3783783783783784,0.27297297297297296
p049,32,4.125,0.9375,0.1875,1.2333333333333334,0.03125,0.27812499999999996
p050,34,4.0,0.9411764705882353,0.5,2.03125,0.47058823529411764,0.47794117647058826
