participant,n_trials,n_regressions,n_long_regressions,regression_per_trial,long_regression_per_trial,long_regression_rate,any_long_reg_trial_rate,mean_regression_size,max_regression_size
p004,26,103,4,3.9615,0.1538,0.0388,0.1538,1.408,7
p005,35,170,7,4.8571,0.2,0.0412,0.2,1.3,7
p006,29,80,2,2.7586,0.069,0.025,0.069,1.375,5
p007,32,162,14,5.0625,0.4375,0.0864,0.3438,1.525,7
p008,28,51,2,1.8214,0.0714,0.0392,0.0714,1.294,7
p009,40,187,15,4.675,0.375,0.0802,0.325,1.626,7
p010,36,189,15,5.25,0.4167,0.0794,0.2778,1.481,8
p011,32,253,12,7.9062,0.375,0.0474,0.375,1.308,6
p012,41,216,6,5.2683,0.1463,0.0278,0.1463,1.255,7
p013,46,18,0,0.3913,0.0,0.0,0.0,1.333,3
p014,36,273,6,7.5833,0.1667,0.022,0.1667,1.249,5
p015,35,393,30,11.2286,0.8571,0.0763,0.5429,1.601,7
p016,35,72,3,2.0571,0.0857,0.0417,0.0857,1.417,5
p017,32,49,1,1.5312,0.0312,0.0204,0.0312,1.327,4
p018,37,112,10,3.027,0.2703,0.0893,0.2162,1.562,8
p019,38,115,11,3.0263,0.2895,0.0957,0.2895,1.557,6
p020,22,176,6,8.0,0.2727,0.0341,0.2273,1.392,7
p021,29,110,3,3.7931,0.1034,0.0273,0.1034,1.191,5
p022,31,91,4,2.9355,0.129,0.044,0.129,1.308,5
p023,39,18,1,0.4615,0.0256,0.0556,0.0256,1.778,8
p024,32,94,7,2.9375,0.2188,0.0745,0.2188,1.532,6
p025,38,134,9,3.5263,0.2368,0.0672,0.2105,1.366,5
p026,31,55,0,1.7742,0.0,0.0,0.0,1.218,3
p027,41,167,10,4.0732,0.2439,0.0599,0.2439,1.437,9
p028,39,234,23,6.0,0.5897,0.0983,0.2821,1.573,7
p029,26,23,2,0.8846,0.0769,0.087,0.0769,1.696,5
p030,35,81,1,2.3143,0.0286,0.0123,0.0286,1.136,4
p031,32,62,4,1.9375,0.125,0.0645,0.125,1.468,5
p032,35,18,0,0.5143,0.0,0.0,0.0,1.056,2
p033,34,33,2,0.9706,0.0588,0.0606,0.0588,1.424,6
p034,34,150,0,4.4118,0.0,0.0,0.0,1.327,3
p035,29,110,12,3.7931,0.4138,0.1091,0.3793,1.718,9
p036,37,66,5,1.7838,0.1351,0.0758,0.1081,1.409,6
p037,31,165,12,5.3226,0.3871,0.0727,0.3548,1.479,7
p038,40,90,9,2.25,0.225,0.1,0.225,1.778,9
p039,20,114,6,5.7,0.3,0.0526,0.3,1.404,8
p040,31,155,6,5.0,0.1935,0.0387,0.1613,1.303,6
p041,25,39,3,1.56,0.12,0.0769,0.12,1.744,8
p042,32,191,5,5.9688,0.1562,0.0262,0.1562,1.34,6
p043,36,107,5,2.9722,0.1389,0.0467,0.1389,1.364,9
p044,37,123,5,3.3243,0.1351,0.0407,0.1351,1.374,6
p045,39,213,8,5.4615,0.2051,0.0376,0.2051,1.291,9
p046,34,122,1,3.5882,0.0294,0.0082,0.0294,1.156,6
p047,30,75,5,2.5,0.1667,0.0667,0.1333,1.427,6
p048,37,141,2,3.8108,0.0541,0.0142,0.0541,1.177,4
p049,32,57,2,1.7812,0.0625,0.0351,0.0625,1.228,4
p050,35,81,9,2.3143,0.2571,0.1111,0.2286,1.556,5
