cohort,bin_low,bin_high,n,frac
plain_top,0,30,55,0.07096774193548387
plain_top,30,60,74,0.09548387096774194
plain_top,60,90,109,0.1406451612903226
plain_top,90,120,93,0.12
plain_top,120,150,113,0.14580645161290323
plain_top,150,180,125,0.16129032258064516
plain_top,180,210,68,0.08774193548387096
plain_top,210,240,36,0.04645161290322581
plain_top,240,270,34,0.04387096774193548
plain_top,270,300,23,0.02967741935483871
plain_top,300,330,14,0.01806451612903226
plain_top,330,360,31,0.04
ad_top,0,30,84,0.04202101050525263
ad_top,30,60,137,0.06853426713356678
ad_top,60,90,251,0.12556278139069535
ad_top,90,120,297,0.1485742871435718
ad_top,120,150,357,0.17858929464732365
ad_top,150,180,414,0.20710355177588793
ad_top,180,210,165,0.08254127063531766
ad_top,210,240,91,0.04552276138069034
ad_top,240,270,84,0.04202101050525263
ad_top,270,300,56,0.02801400700350175
ad_top,300,330,28,0.014007003501750876
ad_top,330,360,35,0.017508754377188594
