pid,n_trials,mean_abs,mean_ddtop,mean_native,mean_ad_total
p004,59,12.02,0.44,3.49,3.93
p005,60,12.03,0.58,2.93,3.52
p006,60,12.17,0.48,3.27,3.75
p007,58,11.79,0.55,3.40,3.95
p008,58,12.40,0.48,3.84,4.33
p009,59,12.03,0.68,3.19,3.86
p010,60,11.85,0.60,3.18,3.78
p011,59,12.03,0.54,3.58,4.12
p012,59,12.24,0.69,3.25,3.95
p013,60,12.17,0.77,3.05,3.82
p014,60,12.23,0.60,3.25,3.85
p015,60,12.10,0.58,3.22,3.80
p016,59,12.07,0.59,3.31,3.90
p017,60,12.12,0.53,3.52,4.05
p018,58,12.45,0.64,3.34,3.98
p019,59,12.29,0.64,3.32,3.97
p020,59,11.68,0.37,3.59,3.97
p021,60,12.38,0.48,3.50,3.98
p022,60,12.12,0.52,3.43,3.95
p023,60,12.50,0.65,3.23,3.88
p024,60,11.95,0.53,3.48,4.02
p025,58,11.86,0.66,3.28,3.93
p026,52,12.19,0.60,3.56,4.15
p027,60,12.35,0.68,3.30,3.98
p028,60,12.25,0.65,3.38,4.03
p029,60,11.98,0.43,3.13,3.57
p030,60,11.93,0.58,3.57,4.15
p031,60,11.82,0.53,3.15,3.68
p032,60,12.37,0.58,3.35,3.93
p033,60,12.48,0.57,3.32,3.88
p034,59,12.47,0.58,3.37,3.95
p035,60,12.20,0.48,3.45,3.93
p036,60,12.17,0.62,3.42,4.03
p037,58,12.31,0.53,3.34,3.88
p038,60,12.37,0.67,3.23,3.90
p039,55,12.18,0.36,3.29,3.65
p040,60,12.50,0.52,2.98,3.50
p041,58,12.16,0.45,2.83,3.28
p042,60,12.38,0.53,3.32,3.85
p043,57,12.32,0.63,3.39,4.02
p044,60,11.95,0.62,3.50,4.12
p045,56,12.12,0.70,3.38,4.07
p046,58,12.29,0.59,3.34,3.93
p047,58,12.45,0.52,3.09,3.60
p048,60,12.03,0.62,3.15,3.77
p049,60,12.28,0.53,3.45,3.98
p050,60,12.23,0.58,3.15,3.73
