tid,pid,block,query,n_abs,n_org,n_ddtop,n_native,first_org_abs,plain_top,n_clicks_in_bands,clicks_in_ad_slot
p004-b1-t1,p004,b1,buy momentum brands 9 led flashlight,11,9,0,3,0,1,1,0
p004-b1-t10,p004,b1,buy bosch bosch 0280160560 fuel pressure regulator,12,11,0,6,0,1,1,0
p004-b1-t2,p004,b1,buy erp erp er3390719 dryer thermal fuse,11,9,0,3,0,1,1,0
p004-b1-t3,p004,b1,buy bosch bosch 72204ws oil filter,13,10,1,6,2,0,1,0
p004-b1-t4,p004,b1,buy pure encapsulations optiferin c 60c,11,7,0,7,2,0,1,0
p004-b1-t5,p004,b1,buy nu science 12 bottles original cellfood,14,10,0,6,2,0,1,0
p004-b1-t6,p004,b1,buy bosch bosch 0227100211 timing module,14,10,1,4,2,0,1,0
p004-b1-t7,p004,b1,buy eurotool boley style gauge,10,9,0,3,0,1,1,0
p004-b1-t8,p004,b1,buy the boatniks vhs,10,10,0,0,0,1,1,0
p004-b1-t9,p004,b1,buy denso denso 143 2095 air filter,11,8,0,3,0,1,1,0
p004-b2-t1,p004,b2,buy motorcraft motorcraft glv8456rm remanufactured alternator,12,9,1,3,1,0,1,0
p004-b2-t10,p004,b2,buy starwest botanicals organic fenugreek seed,12,10,1,3,1,0,1,0
p004-b2-t2,p004,b2,buy denso denso 234 4192 oxygen sensor,14,11,0,6,1,0,1,0
p004-b2-t3,p004,b2,buy denso denso 234 4797 oxygen sensor,13,11,1,3,1,0,1,0
p004-b2-t4,p004,b2,buy acdelco acdelco 6k458 fan belt,11,7,1,3,1,0,1,0
p004-b2-t5,p004,b2,buy acdelco acdelco d503a ignition coil,10,7,0,3,0,1,1,0
p004-b2-t6,p004,b2,buy neiko 30w pencil type soldering iron,14,10,0,6,2,0,1,0
p004-b2-t7,p004,b2,buy abernook grapevine rojaus wine decanter black,11,10,0,3,0,1,1,0
p004-b2-t8,p004,b2,buy guess guess guess quilty watch black,11,9,1,1,1,0,1,1
p004-b2-t9,p004,b2,buy monroe monroe 72231 sensa trac strut,10,7,0,7,1,0,2,0
p004-b3-t1,p004,b3,buy jordana jordana fabubrow eyebrow pencil taupe,13,11,1,3,1,0,1,0
p004-b3-t10,p004,b3,buy dayco dayco 89409 automatic belt tensioners,15,11,0,6,2,0,1,0
p004-b3-t2,p004,b3,buy katadyn katadyn hiker pro water microfilter,14,13,1,0,1,0,1,0
p004-b3-t3,p004,b3,buy jazz moods dinner by candlelight,10,9,0,1,1,0,1,0
p004-b3-t4,p004,b3,buy vdo vdo pm3799 blower motor,12,8,1,3,1,0,1,0
p004-b3-t5,p004,b3,buy sunpro actron cp7612 battery load tester,11,9,0,3,0,1,1,0
p004-b3-t6,p004,b3,buy disguise costumes thor hammer child,13,11,1,1,2,0,1,1
p004-b3-t7,p004,b3,buy fram fram ca10522 panel air filter,13,10,1,5,2,0,1,0
p004-b3-t8,p004,b3,buy gormiti gormiti deluxe fire mountain playset,12,9,1,2,2,0,1,0
p004-b4-t1,p004,b4,buy denso denso 150 1009 oil filter,12,9,0,7,0,1,1,0
p004-b4-t10,p004,b4,buy disney disney cinderella plush doll 20,11,9,0,2,0,1,1,0
p004-b4-t2,p004,b4,buy hiflofiltro hiflo air filter hfa1801,12,9,1,2,2,0,1,0
p004-b4-t3,p004,b4,buy tweezerman tweezerman infinity callus rasp,11,11,0,2,0,1,1,0
p004-b4-t4,p004,b4,buy fram fram p3767 diesel fuel filter,12,9,0,7,2,0,1,0
p004-b4-t5,p004,b4,buy dickinsons dickinson s oil controlling astrigent,12,9,1,3,2,0,1,0
p004-b4-t6,p004,b4,buy genius genius nicer dicer plus,10,9,0,6,1,0,1,0
p004-b4-t7,p004,b4,buy aqua sphere aqua sphere ergo board,12,9,1,3,1,0,1,0
p004-b4-t8,p004,b4,buy amflo inflater gauge w dial gauge,12,11,0,3,0,1,1,0
p004-b4-t9,p004,b4,buy angel greek mountain tea 2 ounce,13,11,1,3,1,0,1,0
p004-b5-t1,p004,b5,buy duwop duwop lip venom,12,10,1,2,1,0,1,0
p004-b5-t10,p004,b5,buy rancho rancho rs5396 rs5000 series shock,11,10,0,3,0,1,1,0
p004-b5-t2,p004,b5,buy resmed resmed water chamber kit h4i,11,10,0,7,1,0,2,0
p004-b5-t3,p004,b5,buy bosch bosch 6702 platinum spark plug,14,11,0,6,2,0,1,0
p004-b5-t4,p004,b5,buy velbon velbon dl 11 tripod dolly,11,9,0,3,0,1,1,0
p004-b5-t5,p004,b5,buy smartgames color code,13,12,1,0,1,0,1,0
p004-b5-t6,p004,b5,buy bitenot bitenot collar 8 x 32,16,13,0,4,2,0,1,0
p004-b5-t7,p004,b5,buy rosle rosle long spaghetti spoon,12,10,1,3,2,0,1,0
p004-b5-t8,p004,b5,buy frontline frontline spray 500 ml,13,10,0,7,1,0,1,0
p004-b5-t9,p004,b5,buy kyb kyb 334389 gr 2 strut,14,10,1,4,3,0,1,0
p004-b6-t1,p004,b6,buy parker parker fountain pen converter standard,11,11,0,2,0,1,1,0
p004-b6-t10,p004,b6,buy generic winterfleece velour white fabric,13,11,1,0,2,0,1,0
p004-b6-t2,p004,b6,buy chicco lil jack rattle teether,11,9,1,1,1,0,1,0
p004-b6-t3,p004,b6,buy everpure h 54 replacement filter cartridge,12,11,0,6,1,0,1,0
p004-b6-t4,p004,b6,buy light mountain henna red 4 ounces,13,9,1,3,2,0,1,0
p004-b6-t5,p004,b6,buy arena arena freeflow pullbuoy,12,10,1,3,1,0,1,0
