cohort,n,rank,clicks,ctr
A_plain_top_10plus_reached9,131,0,46,0.3511
A_plain_top_10plus_reached9,131,1,10,0.0763
A_plain_top_10plus_reached9,131,2,12,0.0916
A_plain_top_10plus_reached9,131,3,13,0.0992
A_plain_top_10plus_reached9,131,4,14,0.1069
A_plain_top_10plus_reached9,131,5,8,0.0611
A_plain_top_10plus_reached9,131,6,9,0.0687
A_plain_top_10plus_reached9,131,7,8,0.0611
A_plain_top_10plus_reached9,131,8,3,0.0229
A_plain_top_10plus_reached9,131,9,4,0.0305
B_plain_top_10plus_any_scroll,431,0,156,0.3619
B_plain_top_10plus_any_scroll,431,1,61,0.1415
B_plain_top_10plus_any_scroll,431,2,71,0.1647
B_plain_top_10plus_any_scroll,431,3,46,0.1067
B_plain_top_10plus_any_scroll,431,4,43,0.0998
B_plain_top_10plus_any_scroll,431,5,16,0.0371
B_plain_top_10plus_any_scroll,431,6,13,0.0302
B_plain_top_10plus_any_scroll,431,7,9,0.0209
B_plain_top_10plus_any_scroll,431,8,3,0.007
B_plain_top_10plus_any_scroll,431,9,4,0.0093
C_any_10plus_reached9,363,0,118,0.3251
C_any_10plus_reached9,363,1,37,0.1019
C_any_10plus_reached9,363,2,28,0.0771
C_any_10plus_reached9,363,3,29,0.0799
C_any_10plus_reached9,363,4,24,0.0661
C_any_10plus_reached9,363,5,20,0.0551
C_any_10plus_reached9,363,6,17,0.0468
C_any_10plus_reached9,363,7,19,0.0523
C_any_10plus_reached9,363,8,8,0.022
C_any_10plus_reached9,363,9,6,0.0165
D_all_10plus,1552,0,506,0.326
D_all_10plus,1552,1,270,0.174
D_all_10plus,1552,2,204,0.1314
D_all_10plus,1552,3,143,0.0921
D_all_10plus,1552,4,90,0.058
D_all_10plus,1552,5,54,0.0348
D_all_10plus,1552,6,33,0.0213
D_all_10plus,1552,7,26,0.0168
D_all_10plus,1552,8,8,0.0052
D_all_10plus,1552,9,6,0.0039
