scope,tier,rank_type,rank,n_clicks,n_trials_in_tier,click_share
full_corpus,satisficer,absolute,0,180,940,0.1915
full_corpus,satisficer,absolute,1,189,940,0.2011
full_corpus,satisficer,absolute,2,250,940,0.266
full_corpus,satisficer,absolute,3,138,940,0.1468
full_corpus,satisficer,absolute,4,79,940,0.084
full_corpus,satisficer,absolute,5,38,940,0.0404
full_corpus,satisficer,absolute,6,26,940,0.0277
full_corpus,satisficer,absolute,7,13,940,0.0138
full_corpus,satisficer,absolute,8,12,940,0.0128
full_corpus,satisficer,absolute,9,5,940,0.0053
full_corpus,satisficer,absolute,10,1,940,0.0011
full_corpus,satisficer,absolute,11,1,940,0.0011
full_corpus,mixed,absolute,0,176,951,0.1851
full_corpus,mixed,absolute,1,165,951,0.1735
full_corpus,mixed,absolute,2,231,951,0.2429
full_corpus,mixed,absolute,3,148,951,0.1556
full_corpus,mixed,absolute,4,81,951,0.0852
full_corpus,mixed,absolute,5,40,951,0.0421
full_corpus,mixed,absolute,6,39,951,0.041
full_corpus,mixed,absolute,7,15,951,0.0158
full_corpus,mixed,absolute,8,20,951,0.021
full_corpus,mixed,absolute,9,21,951,0.0221
full_corpus,mixed,absolute,10,9,951,0.0095
full_corpus,mixed,absolute,11,4,951,0.0042
full_corpus,optimizer,absolute,0,167,884,0.1889
full_corpus,optimizer,absolute,1,164,884,0.1855
full_corpus,optimizer,absolute,2,207,884,0.2342
full_corpus,optimizer,absolute,3,124,884,0.1403
full_corpus,optimizer,absolute,4,91,884,0.1029
full_corpus,optimizer,absolute,5,46,884,0.052
full_corpus,optimizer,absolute,6,35,884,0.0396
full_corpus,optimizer,absolute,7,23,884,0.026
full_corpus,optimizer,absolute,8,17,884,0.0192
full_corpus,optimizer,absolute,9,4,884,0.0045
full_corpus,optimizer,absolute,10,2,884,0.0023
full_corpus,optimizer,absolute,11,0,884,0.0
full_corpus,satisficer,organic,0,342,795,0.4302
full_corpus,satisficer,organic,1,177,795,0.2226
full_corpus,satisficer,organic,2,122,795,0.1535
full_corpus,satisficer,organic,3,65,795,0.0818
full_corpus,satisficer,organic,4,43,795,0.0541
full_corpus,satisficer,organic,5,21,795,0.0264
full_corpus,satisficer,organic,6,16,795,0.0201
full_corpus,satisficer,organic,7,6,795,0.0075
full_corpus,satisficer,organic,8,2,795,0.0025
full_corpus,satisficer,organic,9,1,795,0.0013
full_corpus,satisficer,organic,10,0,795,0.0
full_corpus,mixed,organic,0,333,823,0.4046
full_corpus,mixed,organic,1,164,823,0.1993
full_corpus,mixed,organic,2,127,823,0.1543
full_corpus,mixed,organic,3,80,823,0.0972
full_corpus,mixed,organic,4,52,823,0.0632
full_corpus,mixed,organic,5,26,823,0.0316
full_corpus,mixed,organic,6,15,823,0.0182
full_corpus,mixed,organic,7,17,823,0.0207
full_corpus,mixed,organic,8,4,823,0.0049
full_corpus,mixed,organic,9,4,823,0.0049
full_corpus,mixed,organic,10,1,823,0.0012
full_corpus,optimizer,organic,0,307,755,0.4066
full_corpus,optimizer,organic,1,132,755,0.1748
full_corpus,optimizer,organic,2,126,755,0.1669
full_corpus,optimizer,organic,3,75,755,0.0993
full_corpus,optimizer,organic,4,45,755,0.0596
full_corpus,optimizer,organic,5,39,755,0.0517
full_corpus,optimizer,organic,6,18,755,0.0238
full_corpus,optimizer,organic,7,10,755,0.0132
full_corpus,optimizer,organic,8,2,755,0.0026
full_corpus,optimizer,organic,9,1,755,0.0013
full_corpus,optimizer,organic,10,0,755,0.0
