tid,n_fix,n_survey_fix_used,n_eval_fix_used,d_survey_px,d_eval_px,d_click_px,ratio_s_over_e,is_ad_top,first_fix_in_ad
p004-b1-t1,23,5,18,620.1717724791839,603.8392330843379,971.9352864670968,1.0270478274679526,False,False
p004-b1-t10,55,5,50,703.872857837266,328.76199899974483,1025.7766237794067,2.140979979373505,False,False
p004-b1-t2,38,5,33,616.4000324464624,739.1522170703406,342.90610250686564,0.8339284090759933,False,False
p004-b1-t3,39,5,34,501.9581655875318,768.4036848162639,627.4009882045134,0.6532479938686877,True,False
p004-b1-t4,21,5,16,453.28247263709636,652.5762764416579,578.3632076818164,0.6946045834040077,False,False
p004-b1-t5,65,5,60,487.7396846679589,429.5084406544273,891.269880563682,1.1355764834907707,False,True
p004-b1-t6,41,5,36,614.0293152610875,698.0038498438844,445.9529123124996,0.8796933074200398,True,True
p004-b1-t7,19,5,14,667.632383876037,724.062517383672,162.21486029231102,0.9220645563707127,False,False
p004-b1-t8,31,5,26,608.9671583919777,839.629062771902,91.53734559944097,0.7252811811701341,False,
p004-b1-t9,73,5,68,218.68013169924697,474.95801373030196,112.94351931118271,0.4604199221353097,False,False
p004-b2-t1,30,5,25,398.26875348186684,398.2825630127435,587.191621193627,0.999965327302375,True,True
p004-b2-t10,73,5,68,534.8018324575936,314.55253250381105,413.2227455099978,1.7001987814264825,True,False
p004-b2-t2,58,5,53,708.6353081804491,566.3558547393421,790.0430368024264,1.2512191800446544,False,False
p004-b2-t3,68,5,63,1598.6075190615113,1186.8382366607507,702.8577447370288,1.3469464242737084,True,False
p004-b2-t4,50,5,45,664.5900992341069,652.6599420831648,324.5586790402634,1.0182792850942612,True,False
p004-b2-t5,83,5,78,531.7837906518024,802.3055831038344,194.23324015186822,0.662819506495917,False,False
p004-b2-t6,99,5,94,765.5122467994878,555.9389726433865,244.70919115410047,1.3769717261583936,False,True
p004-b2-t7,75,5,70,638.6266514952222,715.405314691322,357.0408134079816,0.8926780922375063,False,False
p004-b2-t8,44,5,39,427.8766188284409,515.1055466725476,147.2145160998083,0.830658146844693,True,True
p004-b2-t9,117,5,81,377.19093308296794,448.7574323936961,733.6381942074718,0.8405229771259974,False,False
p004-b3-t1,91,5,86,424.4455206501772,622.0231385415714,412.89082584549647,0.6823629128095697,True,True
p004-b3-t10,115,5,110,259.6247291765559,358.1305883829366,704.8723288653059,0.7249443013199091,False,False
p004-b3-t2,102,5,97,369.00135501106223,726.2367387767094,350.0738583764739,0.5081006444711361,True,True
p004-b3-t3,70,5,65,808.0754915229146,576.0794811722694,504.06196371314104,1.4027152813680404,False,False
p004-b3-t4,149,5,144,484.90514536350304,566.7455335404943,458.05527262354053,0.8555958832781102,True,True
p004-b3-t5,131,5,126,530.8719242905958,488.61361970040804,238.9016534057477,1.0864861372797965,False,False
p004-b3-t6,115,5,110,395.00506325868787,803.6432249067502,261.9356333092305,0.49151794106709706,True,False
p004-b3-t7,105,5,100,651.0192009457171,680.8694339330718,437.38893290965075,0.9561586531871117,True,True
p004-b3-t8,63,5,58,260.2249027283899,392.59301361250016,229.5822292774421,0.6628363055518834,True,False
p004-b4-t1,92,5,87,695.8160676500651,544.183792481915,296.0758511903939,1.2786416597903167,False,True
p004-b4-t10,72,5,67,479.4163117792301,260.7654199608375,428.0496614607993,1.8384964994638868,False,False
p004-b4-t2,41,5,36,601.1929806642789,457.04741447156266,238.46173697262208,1.3153842722409383,True,False
p004-b4-t3,134,5,129,344.493831584834,392.1849053699033,357.78696284939605,0.8783964575584884,False,False
p004-b4-t4,51,5,46,308.2093444397817,327.02728098560226,300.60106453570654,0.942457594090907,False,False
p004-b4-t5,115,5,110,399.6961345822599,555.5775788983408,595.3226016203315,0.7194245228088948,True,True
p004-b4-t6,105,5,100,602.5213066542669,615.9024388683629,435.73386372876735,0.9782739418296801,False,True
p004-b4-t7,92,5,87,1149.9295630602771,396.84830660270575,392.55576618402654,2.89765520963026,True,False
p004-b4-t8,164,5,159,553.5133241395368,504.52452864058057,253.38692625692758,1.0970989371536692,False,False
p004-b4-t9,120,5,115,367.26693289758606,263.88681285733094,320.6865576246667,1.3917593263599233,True,True
p004-b5-t1,31,5,26,1240.429361148792,545.6745826313818,445.9775958486031,2.273203481765864,True,True
p004-b5-t10,64,5,59,411.41827864109297,758.7338136658996,217.83020910791964,0.542243236337766,False,False
