tid,n_col_fix,n_ddtop,n_native,n_total_ads,is_plain_top,col_area,ad_area,ad_area_frac,col_y_min,col_y_max,n_survey_fix_K3,n_eval_fix_K3,n_survey_on_ad_K3,n_eval_on_ad_K3,med_d_survey_K3,med_d_eval_K3,survey_ms_K3,n_survey_fix_K5,n_eval_fix_K5,n_survey_on_ad_K5,n_eval_on_ad_K5,med_d_survey_K5,med_d_eval_K5,survey_ms_K5,n_survey_fix_K7,n_eval_fix_K7,n_survey_on_ad_K7,n_eval_on_ad_K7,med_d_survey_K7,med_d_eval_K7,survey_ms_K7,first_fix_x,first_fix_y,first_fix_d_to_ad,first_fix_inside_ad,first_fix_near_ad,first_fix_far_from_ad,null_inside_frac,null_med_d_to_ad
p004-b1-t1,20,0,3,3,True,944460.0,164700.0,0.17438536306460833,125.0,1874,3,17,0,0,1203.0,847.0,489.0,5,15,0,0,1318.0,622.0,1347.0,7,13,0,0,1203.0,622.0,1667.0,676.0,198.0,1318.0,False,False,True,0.17438536306460833,213.8060558574639
p004-b1-t10,43,0,6,6,True,1334340.0,299700.0,0.2246054229057062,9.0,2480,3,40,1,13,11.0,63.5,1433.0,5,38,1,13,15.0,63.5,1722.0,7,36,1,13,98.0,60.0,2872.0,427.0,65.0,98.0,False,False,False,0.2246054229057062,130.43431030240947
p004-b1-t2,35,0,3,3,True,1162080.0,197100.0,0.1696096654275093,72.0,2224,3,32,0,0,1582.0,1530.5,455.0,5,30,0,0,1582.0,1530.5,1532.0,7,28,0,0,1483.0,1535.5,3265.0,659.0,119.0,1687.0,False,False,True,0.1696096654275093,530.5432483615999
p004-b1-t3,36,1,6,7,False,1379700.0,408240.0,0.2958904109589041,131.0,2686,3,33,2,19,-29.0,-9.0,629.0,5,31,4,17,-28.0,0.0,1111.0,7,29,6,15,-28.0,0.0,1352.0,361.0,131.0,27.0,False,True,False,0.2958904109589041,97.35541613914506
p004-b1-t4,15,0,7,7,True,1284660.0,389880.0,0.30348886086591004,97.0,2476,3,12,0,2,61.0,56.0,590.0,5,10,0,2,61.0,55.0,2633.0,7,8,0,2,61.0,55.0,3810.0,598.0,102.0,61.0,False,False,False,0.30348886086591004,74.12764266844624
p004-b1-t5,51,0,6,6,True,1365120.0,419580.0,0.30735759493670883,82.0,2610,3,48,2,19,-39.0,61.5,469.0,5,46,3,18,-3.0,63.5,1010.0,7,44,5,16,-6.0,66.0,1594.0,497.0,240.0,-77.0,True,False,False,0.30735759493670883,145.62251077940437
p004-b1-t6,38,1,4,5,False,1397520.0,484920.0,0.34698608964451316,65.0,2653,3,35,3,15,-59.0,52.0,429.0,5,33,5,13,-43.0,53.0,1150.0,7,31,7,11,-43.0,56.0,1913.0,668.0,233.0,-34.0,True,False,False,0.34698608964451316,29.17882439837723
p004-b1-t7,18,0,3,3,True,956880.0,153900.0,0.1608352144469526,70.0,1842,3,15,0,0,1244.0,1338.0,502.0,5,13,0,0,1236.0,1347.0,1164.0,7,11,0,0,1236.0,1348.0,2297.0,609.0,277.0,1226.0,False,False,True,0.1608352144469526,522.5766739329854
p004-b1-t8,29,0,0,0,True,382320.0,0.0,0.0,85.0,793.0,3,26,0,0,inf,inf,1466.0,5,24,0,0,inf,inf,1693.0,7,22,0,0,inf,inf,3924.0,517.0,316.0,inf,False,False,True,0.0,nan
p004-b1-t9,60,0,3,3,True,1079460.0,252180.0,0.2336168084042021,31.0,2030,3,57,0,0,1424.0,996.0,1408.0,5,55,0,0,913.0,1082.0,1809.0,7,53,0,0,982.0,1088.0,2224.0,557.0,31.0,1479.0,False,False,True,0.2336168084042021,458.5985485014544
p004-b2-t1,25,1,3,4,False,1221480,432540.0,0.3541114058355438,158,2420,3,22,3,9,-81.0,23.0,275.0,5,20,5,7,-81.0,25.5,1166.0,7,18,7,5,-81.0,32.5,1560.0,612.0,438.0,-54.0,True,False,False,0.3541114058355438,341.75081400569746
p004-b2-t10,72,1,3,4,False,1209060.0,365580.0,0.3023671281822242,94.0,2333,3,69,2,15,-38.0,104.0,719.0,5,67,4,13,-82.0,115.0,1085.0,7,65,6,11,-89.0,129.0,2385.0,471.0,94.0,64.0,False,False,False,0.3023671281822242,150.51932240971882
p004-b2-t2,37,0,6,6,True,1429380.0,463320.0,0.3241405364563657,62.0,2709,3,34,1,7,15.0,47.0,702.0,5,32,1,7,7.0,49.0,1031.0,7,30,3,5,2.0,49.5,1414.0,452.0,100.0,63.0,False,False,False,0.3241405364563657,178.00912811369426
p004-b2-t3,58,1,3,4,False,1376460.0,410940.0,0.2985484503726952,25.0,2574,3,55,2,11,-37.0,141.0,576.0,5,53,4,9,-63.0,156.0,1207.0,7,51,6,7,-63.0,157.0,1549.0,489.0,544.0,51.0,False,False,False,0.2985484503726952,201.4240245937808
p004-b2-t4,50,1,3,4,False,1185840.0,432540.0,0.36475409836065575,50.0,2246,3,47,1,8,41.0,108.0,836.0,5,45,2,7,41.0,111.0,1225.0,7,43,3,6,41.0,150.0,1600.0,458.0,117.0,41.0,False,True,False,0.36475409836065575,134.75987198968096
