ordinal,cohort,n,mean_px,median_px
1,all,2768,150.3,126.1
2,all,2765,159.1,129.9
3,all,2763,151.5,111.0
4,all,2759,129.7,86.4
5,all,2749,126.8,79.1
6,all,2744,118.9,74.0
7,all,2743,121.2,74.8
8,all,2734,120.6,72.9
9,all,2723,120.5,71.7
10,all,2708,122.9,73.8
11,all,2693,120.5,71.3
12,all,2674,122.0,72.5
13,all,2659,123.0,73.4
14,all,2635,116.1,69.9
15,all,2615,122.4,74.1
16,all,2598,121.8,74.3
17,all,2567,119.7,72.0
18,all,2549,121.3,69.6
19,all,2532,124.5,76.4
20,all,2507,119.6,71.2
1,plain_top,1188,159.0,130.0
2,plain_top,1185,178.8,144.5
3,plain_top,1183,162.1,113.0
4,plain_top,1180,136.1,81.4
5,plain_top,1170,129.1,74.5
6,plain_top,1166,123.3,73.0
7,plain_top,1166,123.8,76.0
8,plain_top,1160,120.1,70.5
9,plain_top,1154,119.0,70.3
10,plain_top,1148,119.7,70.5
11,plain_top,1140,121.0,67.1
12,plain_top,1130,118.3,67.2
13,plain_top,1123,128.2,73.0
14,plain_top,1111,118.6,70.0
15,plain_top,1102,115.5,68.0
16,plain_top,1095,123.9,72.4
17,plain_top,1072,121.3,70.8
18,plain_top,1063,123.3,67.2
19,plain_top,1055,121.7,71.9
20,plain_top,1043,120.1,71.0
1,ad_top,1580,143.7,124.8
2,ad_top,1580,144.2,120.8
3,ad_top,1580,143.5,109.0
4,ad_top,1579,124.9,91.1
5,ad_top,1579,125.1,83.8
6,ad_top,1578,115.6,75.2
7,ad_top,1577,119.2,73.8
8,ad_top,1574,121.0,74.7
9,ad_top,1569,121.6,73.5
10,ad_top,1560,125.2,76.5
11,ad_top,1553,120.2,75.3
12,ad_top,1544,124.7,77.3
13,ad_top,1536,119.2,73.8
14,ad_top,1524,114.3,69.6
15,ad_top,1513,127.5,78.9
16,ad_top,1503,120.3,75.8
17,ad_top,1495,118.5,72.2
18,ad_top,1486,119.9,72.1
19,ad_top,1477,126.5,80.8
20,ad_top,1464,119.2,71.6
