tid,has_ddtop,has_ddright,n_ddtop_rects,n_ddright_rects,ddtop_area,ddright_area,col_area,right_area,ddtop_base_rate,ddright_base_rate,n_survey_viewport,n_survey_col,n_survey_right,n_eval_col,n_eval_right,n_survey_on_ddtop,n_eval_on_ddtop,n_survey_on_ddright,n_eval_on_ddright,y0,y1
p004-b1-t1,0,0,0,0,0.0,0.0,495180.0,364966.0,0.0,0.0,5,5,0,15,3,0,0,0,0,44.0,961.0
p004-b1-t10,0,1,0,1,0.0,184977.0,532440.0,392428.0,0.0,0.4713654479293017,5,5,0,38,12,0,0,0,8,9.0,995.0
p004-b1-t2,0,0,0,0,0.0,0.0,487620.0,359394.0,0.0,0.0,5,4,1,31,2,0,0,0,0,72.0,975.0
p004-b1-t3,1,0,1,0,130680.0,0.0,462240.0,340688.0,0.2827102803738318,0.0,5,5,0,31,3,4,6,0,0,52.0,908.0
p004-b1-t4,0,1,0,1,0.0,160888.0,440640.0,324768.0,0.0,0.495393634840871,5,3,2,12,5,0,0,1,0,70.0,886.0
p004-b1-t5,0,1,0,1,0.0,183430.0,510300.0,376110.0,0.0,0.4877030655925128,5,4,1,47,13,0,0,1,12,43.0,988.0
p004-b1-t6,1,0,1,0,150660.0,0.0,512460.0,377702.0,0.2939936775553214,0.0,5,5,0,33,3,5,10,0,0,55.0,1004.0
p004-b1-t7,0,0,0,0,0.0,0.0,125280.0,92336.0,0.0,0.0,5,5,0,13,1,0,0,0,0,69.0,301.0
p004-b1-t8,0,0,0,0,0.0,0.0,392580.0,289346.0,0.0,0.0,5,4,2,25,1,0,0,0,0,66.0,793.0
p004-b1-t9,0,1,0,1,0.0,111163.0,503280.0,370936.0,0.0,0.29968242500053915,5,2,3,58,10,0,0,2,5,31.0,963.0
p004-b2-t1,1,0,1,0,180360.0,0.0,359640.0,265068.0,0.5015015015015015,0.0,5,5,0,20,5,5,7,0,0,39.0,705.0
p004-b2-t10,1,0,1,0,189540.0,0.0,381240.0,280988.0,0.4971671388101983,0.0,5,5,0,67,2,4,13,0,0,94.0,800.0
p004-b2-t2,0,1,0,1,0.0,187850.0,519480.0,382876.0,0.0,0.4906288197745484,5,5,0,32,21,0,0,0,19,46.0,1008.0
p004-b2-t3,1,0,1,0,180900.0,0.0,833760.0,614512.0,0.21696891191709844,0.0,5,5,0,53,7,4,9,0,0,25.0,1569.0
p004-b2-t4,1,0,1,0,180360.0,0.0,1134000.0,835800.0,0.15904761904761905,0.0,5,5,0,45,0,2,1,0,0,50.0,2150.0
p004-b2-t5,0,0,0,0,0.0,0.0,1095660.0,807542.0,0.0,0.0,5,5,0,74,5,0,0,0,0,36.0,2065.0
p004-b2-t6,0,1,0,1,0.0,281996.0,1371060.0,1010522.0,0.0,0.2790597334842784,5,5,0,83,10,0,0,0,9,130.0,2669.0
p004-b2-t7,0,0,0,0,0.0,0.0,845640.0,623268.0,0.0,0.0,5,5,0,67,3,0,0,0,0,41.0,1607.0
p004-b2-t8,1,0,1,0,206280.0,0.0,1184220.0,872814.0,0.1741906064751482,0.0,5,5,0,36,4,5,21,0,0,65.0,2258.0
p004-b2-t9,0,1,0,1,0.0,264095.0,778140.0,573518.0,0.0,0.46048249575427447,5,3,2,92,20,0,0,2,13,22.0,1463.0
p004-b3-t1,1,0,1,0,206280.0,0.0,960660.0,708042.0,0.21472737492973581,0.0,5,5,0,80,7,4,11,0,0,120.0,1899.0
p004-b3-t10,0,1,0,1,0.0,281996.0,941220.0,693714.0,0.0,0.40650181486895176,5,4,1,103,5,0,0,1,1,3.0,1746.0
p004-b3-t2,1,0,1,0,196560.0,0.0,1222560.0,901072.0,0.1607773851590106,0.0,5,5,0,94,3,5,8,0,0,176.0,2440.0
p004-b3-t3,0,0,0,0,0.0,0.0,648000.0,477600.0,0.0,0.0,5,5,0,49,15,0,0,0,0,100.0,1300.0
p004-b3-t4,1,0,1,0,180360.0,0.0,1355940.0,999378.0,0.1330147351652728,0.0,5,5,0,138,3,4,33,0,0,105.0,2616.0
p004-b3-t5,0,1,0,1,0.0,118235.0,941760.0,694112.0,0.0,0.17033994513853673,5,5,0,112,14,0,0,0,4,3.0,1747.0
p004-b3-t6,1,0,1,0,206280.0,0.0,1124280.0,828636.0,0.1834774255523535,0.0,5,5,0,100,8,3,44,0,0,6.0,2088.0
p004-b3-t7,1,0,1,0,150660.0,0.0,574560.0,423472.0,0.26221804511278196,0.0,5,5,0,92,7,5,23,0,0,4.0,1068.0
p004-b3-t8,1,0,1,0,189540.0,0.0,1183140.0,872018.0,0.16020082154267457,0.0,5,5,0,54,4,4,9,0,0,1.0,2192.0
p004-b4-t1,0,1,0,1,0.0,281996.0,1228500.0,905450.0,0.0,0.3114429289303661,5,5,0,71,16,0,0,0,15,100.0,2375.0
p004-b4-t10,0,0,0,0,0.0,0.0,908820.0,669834.0,0.0,0.0,5,5,0,61,7,0,0,0,0,7.0,1690.0
p004-b4-t2,1,0,1,0,189540.0,0.0,663120.0,488744.0,0.28583061889250816,0.0,5,3,2,33,3,2,4,0,0,46.0,1274.0
p004-b4-t3,0,1,0,1,0.0,227188.0,982260.0,723962.0,0.0,0.31381205090874936,5,4,1,116,13,0,0,1,9,23.0,1842.0
p004-b4-t4,0,1,0,1,0.0,216138.0,597240.0,440188.0,0.0,0.49101293083864167,5,5,0,41,5,0,0,0,0,30.0,1136.0
p004-b4-t5,1,0,1,0,206280.0,0.0,932040.0,686948.0,0.2213209733487833,0.0,5,5,0,105,4,4,19,0,0,4.0,1730.0
p004-b4-t6,0,1,0,1,0.0,281996.0,1303020.0,960374.0,0.0,0.29363143941839326,5,5,0,93,6,0,0,0,2,60.0,2473.0
p004-b4-t7,1,0,1,0,180360.0,0.0,1287900.0,949230.0,0.140041928721174,0.0,5,5,0,81,6,2,12,0,0,9.0,2394.0
p004-b4-t8,0,0,0,0,0.0,0.0,1035180.0,762966.0,0.0,0.0,5,5,0,145,15,0,0,0,0,31.0,1948.0
p004-b4-t9,1,0,1,0,144180.0,0.0,1141560.0,841372.0,0.12630085146641437,0.0,5,5,0,112,3,5,2,0,0,225.0,2339.0
p004-b5-t1,1,0,1,0,180360.0,0.0,677700.0,499490.0,0.2661354581673307,0.0,5,5,0,21,6,5,4,0,0,175.0,1430.0
p004-b5-t10,0,1,0,1,0.0,212823.0,1073520.0,791224.0,0.0,0.2689794546171501,5,1,4,56,3,0,0,4,0,12.0,2000.0
